imagem_1,imagem_2,algoritmo,similaridade_%,classificacao,resultado_path
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,1.25,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,1.25,Falso Negativo (FN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,ORB,0.6,Falso Negativo (FN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,1.25,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,1.25,Falso Negativo (FN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,1.25,Falso Negativo (FN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0026 Cad.jpg,PAP-0026 Op.jpg,SIFT,0.3,Falso Negativo (FN),resultado_PAP-0026 Cad.jpg_PAP-0026 Op.jpg.jpg
PAP-0026 Cad.jpg,PAP-0026 Op.jpg,ORB,0.2,Falso Negativo (FN),resultado_PAP-0026 Cad.jpg_PAP-0026 Op.jpg.jpg
PAP-0030 Cad.jpg,PAP-0030 Op.jpg,SIFT,0.85,Falso Negativo (FN),resultado_PAP-0030 Cad.jpg_PAP-0030 Op.jpg.jpg
PAP-0031 Cad.jpg,PAP-0031 Op.jpg,SIFT,0.45,Falso Negativo (FN),resultado_PAP-0031 Cad.jpg_PAP-0031 Op.jpg.jpg
PAP-0072 Cad.jpg,PAP-0072 Op.jpg,SIFT,0.65,Falso Negativo (FN),resultado_PAP-0072 Cad.jpg_PAP-0072 Op.jpg.jpg
PAP-0080 Cad.jpg,PAP-0080 Op.jpg,SIFT,0.55,Falso Negativo (FN),resultado_PAP-0080 Cad.jpg_PAP-0080 Op.jpg.jpg
PAP-0166 Cad.jpg,PAP-0166 Op.jpg,SIFT,1.85,Falso Negativo (FN),resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
PAP-01084 Cad.jpg,PAP-01084 Op.jpg,SIFT,1.1,Falso Negativo (FN),resultado_PAP-01084 Cad.jpg_PAP-01084 Op.jpg.jpg
PAP-01086 Cad.jpg,PAP-01086 Op.jpg,SIFT,1.6,Falso Negativo (FN),resultado_PAP-01086 Cad.jpg_PAP-01086 Op.jpg.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,SIFT,3.35,Falso Negativo (FN),resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,ORB,5.9,Falso Negativo (FN),resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,1.25,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,SIFT,3.35,Verdadeiro Negativo (TN),resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,1.25,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,ORB,0.6,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
