imagem_1,imagem_2,algoritmo,similaridade_%,classificacao,resultado_path
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,YOLO,33.33,Verdadeiro Negativo (TN),resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,ORB,5.9,Verdadeiro Negativo (TN),resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,ORB,0.6,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,ORB,5.9,Verdadeiro Negativo (TN),resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-5156 Cad.jpg,PAP-5156 Op.jpg,YOLO,33.33,Verdadeiro Negativo (TN),resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-5156 Op.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-5156 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0031 Op.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0005 Cad.jpg_PAP-0031 Op.jpg.jpg
PAP-0072 Cad.jpg,PAP-0031 Op.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0072 Cad.jpg_PAP-0031 Op.jpg.jpg
PAP-0026 Op.jpg,PAP-0166 Op.jpg,YOLO,7.14,Verdadeiro Negativo (TN),resultado_PAP-0026 Op.jpg_PAP-0166 Op.jpg.jpg
PAP-0166 Cad.jpg,PAP-01084 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0166 Cad.jpg_PAP-01084 Cad.jpg.jpg
PAP-01086 Cad.jpg,PAP-01084 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-01086 Cad.jpg_PAP-01084 Cad.jpg.jpg
PAP-0080 Cad.jpg,PAP-01084 Cad.jpg,YOLO,20.0,Verdadeiro Negativo (TN),resultado_PAP-0080 Cad.jpg_PAP-01084 Cad.jpg.jpg
PAP-01086 Cad.jpg,PAP-01084 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-01086 Cad.jpg_PAP-01084 Cad.jpg.jpg
PAP-0166 Op.jpg,PAP-01084 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0166 Op.jpg_PAP-01084 Cad.jpg.jpg
PAP-0166 Op.jpg,PAP-0005 Cad.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0166 Op.jpg_PAP-0005 Cad.jpg.jpg
PAP-0072 Op.jpg,PAP-0080 Op.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0072 Op.jpg_PAP-0080 Op.jpg.jpg
PAP-0072 Cad.jpg,PAP-0030 Op.jpg,YOLO,7.69,Verdadeiro Negativo (TN),resultado_PAP-0072 Cad.jpg_PAP-0030 Op.jpg.jpg
PAP-0166 Cad.jpg,PAP-0026 Op.jpg,YOLO,0.0,Verdadeiro Negativo (TN),resultado_PAP-0166 Cad.jpg_PAP-0026 Op.jpg.jpg
