epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8989,0.69444,3.78055,1.16176,0.00333,1,0.31953,0.20563,0.69393,3.09716,0.92641,2e-05,2e-05,2e-05
2,99.7052,0.85703,3.2309,1.02304,0.00333,1,0.56438,0.41491,0.66915,3.05382,0.90502,5.8812e-05,5.8812e-05,5.8812e-05
3,111.648,0.60822,2.75269,0.89483,0.00333,1,0.89573,0.74802,0.70154,3.00497,0.8918,9.604e-05,9.604e-05,9.604e-05
4,124.929,0.66157,2.67557,0.89628,0.00333,1,0.89578,0.73397,0.70497,2.96007,0.89443,0.000131684,0.000131684,0.000131684
5,137.364,0.92894,2.17952,1.01493,0.00333,1,0.89581,0.7143,0.72676,2.90031,0.90996,0.000165744,0.000165744,0.000165744
6,147.107,0.77294,1.74726,1.00273,0.00333,1,0.89583,0.71424,0.78432,2.82024,0.93615,0.00019822,0.00019822,0.00019822
7,156.954,0.57355,1.37565,0.95399,0.00805,0.94586,0.89585,0.74605,0.77865,2.70993,0.93201,0.000229112,0.000229112,0.000229112
8,169.435,0.88041,1.41174,1.15751,0.87032,0.9,0.91423,0.72041,0.711,2.62873,0.91599,0.00025842,0.00025842,0.00025842
9,179.882,0.73221,1.32999,0.98317,0.9422,0.9,0.90766,0.71954,0.71213,2.58094,0.90232,0.000286144,0.000286144,0.000286144
10,189.648,0.59868,1.13442,0.85765,0.94742,0.9,0.9575,0.74951,0.76559,2.55972,0.91913,0.000312284,0.000312284,0.000312284
11,200.435,0.64962,1.09618,0.91198,1,0.68551,0.98591,0.7797,0.78984,2.57548,0.93094,0.00033684,0.00033684,0.00033684
12,211.384,0.70566,1.207,0.95175,1,0.68551,0.98591,0.7797,0.78984,2.57548,0.93094,0.000359812,0.000359812,0.000359812
13,221.924,0.52305,0.99869,0.85322,1,0.69819,0.97682,0.77788,0.80803,2.61363,0.93242,0.0003812,0.0003812,0.0003812
14,233.089,0.61393,1.00784,0.90357,1,0.7438,0.97682,0.76312,0.85026,2.61117,0.94015,0.000401004,0.000401004,0.000401004
15,244.822,0.58345,1.47765,0.89314,1,0.7438,0.97682,0.76312,0.85026,2.61117,0.94015,0.000419224,0.000419224,0.000419224
16,267.42,0.64072,1.09369,0.87102,0.98031,0.8,0.97682,0.73871,0.86944,2.60129,0.93606,0.00043586,0.00043586,0.00043586
17,293.858,0.65614,1.14496,0.97732,1,0.82675,0.98591,0.74254,0.89609,2.56258,0.94065,0.000450912,0.000450912,0.000450912
18,314.261,0.55285,1.12457,0.86897,1,0.82675,0.98591,0.74254,0.89609,2.56258,0.94065,0.00046438,0.00046438,0.00046438
19,332.217,0.59262,1.10909,0.86854,0.97297,0.9,0.98591,0.78179,0.84326,2.46167,0.94965,0.000476264,0.000476264,0.000476264
20,348.256,0.84019,1.4689,0.94278,0.97297,0.9,0.98591,0.78179,0.84326,2.46167,0.94965,0.000486564,0.000486564,0.000486564
21,361.221,0.69116,1.37723,1.01845,1,0.93057,0.995,0.76681,0.82792,2.40524,0.95888,0.00049528,0.00049528,0.00049528
22,372.378,0.67118,1.63977,0.89638,1,0.93057,0.995,0.76681,0.82792,2.40524,0.95888,0.000502412,0.000502412,0.000502412
23,383.204,0.57571,1.12853,0.88411,1,0.89077,0.995,0.74941,0.83469,2.28925,0.95152,0.00050796,0.00050796,0.00050796
24,403.472,0.62298,0.99646,0.88741,1,0.89077,0.995,0.74941,0.83469,2.28925,0.95152,0.000511924,0.000511924,0.000511924
25,416.745,0.93356,1.39527,1.26661,1,0.88448,0.995,0.78274,0.83485,2.19081,0.9522,0.000514304,0.000514304,0.000514304
26,432.122,0.6353,1.1091,0.99876,1,0.88448,0.995,0.78274,0.83485,2.19081,0.9522,0.0005151,0.0005151,0.0005151
27,446.333,0.62785,1.45483,0.99603,1,0.88448,0.995,0.78274,0.83485,2.19081,0.9522,0.000514312,0.000514312,0.000514312
28,461.376,0.61324,1.19723,0.87848,1,0.88707,0.995,0.79289,0.82895,2.13689,0.96343,0.00051194,0.00051194,0.00051194
29,473.94,0.56378,1.00521,0.82897,1,0.88707,0.995,0.79289,0.82895,2.13689,0.96343,0.000507984,0.000507984,0.000507984
30,492.783,0.81344,1.25994,1.03034,1,0.89948,0.995,0.75311,0.83512,2.09027,0.98784,0.000502444,0.000502444,0.000502444
31,506.893,0.61061,1.18906,1.03489,1,0.89948,0.995,0.75311,0.83512,2.09027,0.98784,0.00049532,0.00049532,0.00049532
32,527.75,0.56679,1.33033,0.95586,1,0.89948,0.995,0.75311,0.83512,2.09027,0.98784,0.000486612,0.000486612,0.000486612
33,540.946,0.53028,0.89669,0.88115,0.97799,1,0.995,0.74223,0.84525,2.19295,0.99406,0.00047632,0.00047632,0.00047632
34,552.903,0.57497,0.96252,0.88503,0.97799,1,0.995,0.74223,0.84525,2.19295,0.99406,0.000464444,0.000464444,0.000464444
35,564.71,0.51008,0.98594,0.91735,0.97799,1,0.995,0.74223,0.84525,2.19295,0.99406,0.000450984,0.000450984,0.000450984
36,575.754,0.61692,1.10248,0.9225,0.94038,1,0.995,0.74124,0.8722,2.2332,1.00992,0.00043594,0.00043594,0.00043594
37,586.934,0.51661,1.1333,0.90485,0.94038,1,0.995,0.74124,0.8722,2.2332,1.00992,0.000419312,0.000419312,0.000419312
38,597.124,0.66121,1.83852,0.98232,0.94038,1,0.995,0.74124,0.8722,2.2332,1.00992,0.0004011,0.0004011,0.0004011
39,606.969,0.5248,0.82723,0.83405,0.92657,1,0.995,0.7622,0.85264,2.21614,1.00604,0.000381304,0.000381304,0.000381304
40,616.914,0.4895,0.99186,0.86509,0.92657,1,0.995,0.7622,0.85264,2.21614,1.00604,0.000359924,0.000359924,0.000359924
41,630.075,0.42805,1.23117,0.86507,0.92657,1,0.995,0.7622,0.85264,2.21614,1.00604,0.00033696,0.00033696,0.00033696
42,640.697,0.55772,1.39835,0.83851,0.88225,1,0.97682,0.75355,0.83598,2.31409,1.00489,0.000312412,0.000312412,0.000312412
43,650.121,0.40646,1.32791,0.88502,0.88225,1,0.97682,0.75355,0.83598,2.31409,1.00489,0.00028628,0.00028628,0.00028628
44,660.035,0.5461,1.4976,0.7952,0.88225,1,0.97682,0.75355,0.83598,2.31409,1.00489,0.000258564,0.000258564,0.000258564
45,669.414,0.51664,1.32705,0.82137,0.88225,1,0.97682,0.75355,0.83598,2.31409,1.00489,0.000229264,0.000229264,0.000229264
46,679.141,0.43403,1.38703,0.88219,0.90605,0.96656,0.97682,0.75713,0.82121,2.30356,0.99105,0.00019838,0.00019838,0.00019838
47,688.727,0.47953,1.35275,0.91486,0.90605,0.96656,0.97682,0.75713,0.82121,2.30356,0.99105,0.000165912,0.000165912,0.000165912
48,698.33,0.47532,1.23121,0.87569,0.90605,0.96656,0.97682,0.75713,0.82121,2.30356,0.99105,0.00013186,0.00013186,0.00013186
49,708.116,0.55493,1.37994,0.96998,0.90605,0.96656,0.97682,0.75713,0.82121,2.30356,0.99105,9.6224e-05,9.6224e-05,9.6224e-05
50,718.239,0.52539,1.41605,0.846,0.90791,0.98702,0.97682,0.76601,0.80048,2.12208,0.99166,5.9004e-05,5.9004e-05,5.9004e-05
