epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.532,1.89724,3.85352,1.66184,0.00814,0.3956,0.02638,0.01414,1.75711,3.71123,1.51684,1.429e-05,1.429e-05,1.429e-05
2,176.585,1.78284,3.75243,1.60362,0.00745,0.37683,0.02797,0.01397,1.71512,3.67006,1.47121,4.24456e-05,4.24456e-05,4.24456e-05
3,204.686,1.79721,3.7021,1.609,0.00781,0.38278,0.03882,0.02107,1.67681,3.63395,1.43675,7.00353e-05,7.00353e-05,7.00353e-05
4,231.711,1.72323,3.51521,1.57147,0.00824,0.38874,0.08448,0.04431,1.6759,3.59028,1.43515,9.70591e-05,9.70591e-05,9.70591e-05
5,258.038,1.79512,3.48271,1.53607,0.00753,0.36996,0.10501,0.0517,1.64729,3.57709,1.40758,0.000123517,0.000123517,0.000123517
6,283.675,1.66823,3.16039,1.48532,0.00755,0.36996,0.088,0.04334,1.70359,3.55039,1.42136,0.000149409,0.000149409,0.000149409
7,310.458,1.61556,2.85676,1.40985,0.00782,0.40461,0.0902,0.04655,1.77325,3.48932,1.471,0.000174735,0.000174735,0.000174735
8,336.02,1.73871,2.73557,1.42619,0.01146,0.44918,0.1057,0.06537,1.75219,3.36135,1.46085,0.000199496,0.000199496,0.000199496
9,362.481,1.74096,2.42575,1.42872,0.01792,0.55632,0.19673,0.11382,1.79255,3.25907,1.46659,0.00022369,0.00022369,0.00022369
10,387.667,1.67823,2.37158,1.40787,0.02148,0.65644,0.24257,0.12898,1.8381,3.13388,1.50048,0.000247318,0.000247318,0.000247318
11,413.955,1.62534,2.28545,1.43147,0.02217,0.6743,0.24031,0.12574,1.90516,3.04625,1.53928,0.000270381,0.000270381,0.000270381
12,440.182,1.63678,2.0915,1.34475,0.02401,0.74176,0.24689,0.1347,1.91337,2.99453,1.53005,0.000292878,0.000292878,0.000292878
13,466.384,1.58231,1.91982,1.31918,0.02534,0.77549,0.25589,0.14502,1.93065,2.96433,1.52273,0.000314809,0.000314809,0.000314809
14,493.298,1.53039,1.78115,1.31253,0.02478,0.79609,0.26699,0.14781,1.94747,2.95124,1.51108,0.000336174,0.000336174,0.000336174
15,519.375,1.57967,1.84096,1.31927,0.19492,0.52305,0.25705,0.1381,1.9483,2.95484,1.53112,0.000356973,0.000356973,0.000356973
16,545.033,1.57082,1.85137,1.33484,0.02185,0.78251,0.2514,0.13036,1.94464,2.95808,1.5299,0.000377206,0.000377206,0.000377206
