id,imagem_1,imagem_2,algoritmo,similaridade_%,classificacao,contexto_img1,contexto_img2,resultado_path
74738199-6cf3-4ebf-9f7b-8c5544a6628f,PAP-0030 Cad.jpg,PAP-0030 Op.jpg,YOLO,7.62,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0030 Cad.jpg_PAP-0030 Op.jpg.jpg
3bc50169-fb75-4b54-9fd7-2ff0977668e6,PAP-0031 Op.jpg,PAP-0031 Cad.jpg,YOLO,7.14,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0031 Op.jpg_PAP-0031 Cad.jpg.jpg
3f94b1cb-3328-4a6f-b685-0ab97417c452,PAP-0072 Cad.jpg,PAP-0072 Op.jpg,YOLO,5.6,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0072 Cad.jpg_PAP-0072 Op.jpg.jpg
4e088d77-c67e-4f5a-81df-52f6d73d0a46,PAP-0080 Op.jpg,PAP-0080 Cad.jpg,YOLO,5.34,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0080 Op.jpg_PAP-0080 Cad.jpg.jpg
034d8b0a-3a19-454c-b22e-e311801b5f60,PAP-0166 Cad.jpg,PAP-0166 Op.jpg,YOLO,66.54,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
d31682d6-959d-4c07-bb69-c6695a4e08b3,PAP-01084 Op.jpg,PAP-01084 Cad.jpg,YOLO,5.52,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-01084 Op.jpg_PAP-01084 Cad.jpg.jpg
e88d5260-96a2-43ce-bb9d-448795a75bc6,PAP-01086 Cad.jpg,PAP-01086 Op.jpg,YOLO,6.52,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-01086 Cad.jpg_PAP-01086 Op.jpg.jpg
37abc3c0-d8d5-424c-8b57-b05fb7ba8d75,PAP-5156 Op.jpg,PAP-5156 Op.jpg,YOLO,100.0,Verdadeiro Positivo (VP),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-5156 Op.jpg_PAP-5156 Op.jpg.jpg
711263dd-3fba-4218-b9c1-4c72c4c4898b,PAP-5156 Op.jpg,PAP-5156 Op.jpg,YOLO,100.0,Verdadeiro Positivo (VP),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-5156 Op.jpg_PAP-5156 Op.jpg.jpg
9414f74e-85d7-4d05-93aa-e46e0dbb4627,PAP-5156 Op.jpg,PAP-5156 Cad.jpg,YOLO,68.7,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-5156 Op.jpg_PAP-5156 Cad.jpg.jpg
94358369-c7b3-4ae6-b68b-4f4a3b80741f,PAP-0005 Cad.jpg,PAP-0005 Cad.jpg,YOLO,100.0,Verdadeiro Positivo (VP),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0005 Cad.jpg_PAP-0005 Cad.jpg.jpg
3a80d393-a240-494e-aa5d-de4ed6f813dc,PAP-0005 Cad.jpg,PAP-0031 Cad.jpg,YOLO,56.3,Verdadeiro Negativo (VN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0005 Cad.jpg_PAP-0031 Cad.jpg.jpg
684a4903-0498-465d-a20a-8d14f14d4e91,PAP-0166 Cad.jpg,PAP-0166 Cad.jpg,YOLO,100.0,Verdadeiro Positivo (VP),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Cad.jpg.jpg
c6efea72-6ad8-40d5-8ee0-11454d43dd54,PAP-0166 Cad.jpg,PAP-0166 Op.jpg,YOLO,66.54,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
correcao-be79d689,PAP-0166 Cad.jpg,PAP-0166 Op.jpg,YOLO (CORRIGIDO),72.4,Verdadeiro Positivo (VP),31% (ajustado),31% (ajustado),C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
correcao-0d1eefdb,PAP-0166 Cad.jpg,PAP-0166 Op.jpg,YOLO (CORRIGIDO),76.0,Verdadeiro Positivo (VP),40% (ajustado),40% (ajustado),C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
902d5997-dfe6-4403-b29d-f2f4c29acc58,PAP-5156 Cad.jpg,PAP-5156 Cad.jpg,YOLO,100.0,Verdadeiro Positivo (VP),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-5156 Cad.jpg_PAP-5156 Cad.jpg.jpg
7342c266-d1cc-4304-a826-f0a3cfe47340,PAP-5156 Cad.jpg,PAP-5156 Op.jpg,YOLO,68.7,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-5156 Cad.jpg_PAP-5156 Op.jpg.jpg
