id,imagem_1,imagem_2,algoritmo,similaridade_%,classificacao,contexto_img1,contexto_img2,resultado_path
47a77916-b4cd-4e9c-81ec-9f59055fbfdb,PAP-0005 Cad.jpg,PAP-0005 Op.jpg,YOLO,7.22,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
392d3f1d-800f-41fe-95b8-43fe0758cdbe,PAP-0026 Op.jpg,PAP-0005 Op.jpg,YOLO,55.96,Verdadeiro Negativo (VN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0026 Op.jpg_PAP-0005 Op.jpg.jpg
8b7eeb76-f612-4bbe-8cd7-ae86565bdd84,PAP-0026 Cad.jpg,PAP-0026 Op.jpg,YOLO,5.84,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0026 Cad.jpg_PAP-0026 Op.jpg.jpg
5554ff01-ae48-48d4-9604-0cfd1fb32509,PAP-0031 Cad.jpg,PAP-0031 Cad.jpg,YOLO,100.0,Verdadeiro Positivo (VP),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0031 Cad.jpg_PAP-0031 Cad.jpg.jpg
de4fb2c2-7583-4423-82c0-853a63664b11,PAP-0031 Cad.jpg,PAP-0031 Op.jpg,YOLO,7.14,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0031 Cad.jpg_PAP-0031 Op.jpg.jpg
98f9781c-aa81-439e-8410-52bbeadfa45e,PAP-0072 Cad.jpg,PAP-0072 Op.jpg,YOLO,5.6,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0072 Cad.jpg_PAP-0072 Op.jpg.jpg
28f54beb-3d81-4af9-9b1c-f352fd7eb566,PAP-0080 Cad.jpg,PAP-0080 Op.jpg,YOLO,5.34,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0080 Cad.jpg_PAP-0080 Op.jpg.jpg
b7096b61-9dce-4e15-97ae-a644d865644c,PAP-0166 Cad.jpg,PAP-0166 Op.jpg,YOLO,66.54,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
6ebcf0a5-8e6f-4d53-90a0-1acc42d4c8cb,PAP-01084 Op.jpg,PAP-01084 Cad.jpg,YOLO,5.52,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-01084 Op.jpg_PAP-01084 Cad.jpg.jpg
0478bbab-49b5-44ad-b666-6df9181d4275,PAP-01086 Cad.jpg,PAP-01086 Op.jpg,YOLO,6.52,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-01086 Cad.jpg_PAP-01086 Op.jpg.jpg
58c29f0f-d2ac-4101-ab73-2fe7cb8578af,PAP-0005 Cad.jpg,PAP-0005 Op.jpg,YOLO,7.22,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
cbec940f-c1cc-4a72-864d-a29ec1a57a45,PAP-0031 Cad.jpg,PAP-0031 Op.jpg,YOLO,7.14,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0031 Cad.jpg_PAP-0031 Op.jpg.jpg
7ce577fb-cbb0-49e3-950e-bc98c60d5ddc,PAP-0031 Cad.jpg,PAP-0031 Op.jpg,SIFT,0.27,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0031 Cad.jpg_PAP-0031 Op.jpg.jpg
46ce366e-4bcc-44ea-9b48-c33cf85e0bca,PAP-0031 Cad.jpg,PAP-0031 Op.jpg,ORB,0.12,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0031 Cad.jpg_PAP-0031 Op.jpg.jpg
9334b451-d3cc-44d2-8708-d82aa96c682e,PAP-0031 Cad.jpg,PAP-0031 Op.jpg,YOLO,7.14,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0031 Cad.jpg_PAP-0031 Op.jpg.jpg
ac74d664-9d8a-4109-96ed-7944f775f8bd,PAP-0166 Cad.jpg,PAP-0166 Op.jpg,YOLO,66.54,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
3328b079-2998-45ba-a1b8-532dc3b52217,PAP-0166 Cad.jpg,PAP-0166 Op.jpg,ORB,20.45,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-0166 Cad.jpg_PAP-0166 Op.jpg.jpg
10b482b4-3a4f-4357-a06e-1373ae27aacd,PAP-5156 Op.jpg,PAP-5156 Cad.jpg,YOLO,68.7,Falso Negativo (FN),ORB detalhado,ORB detalhado,C:\Users\mathe\Documents\Estudos\Residencia-GrownUp\src\output\imagens processadas\resultado_PAP-5156 Op.jpg_PAP-5156 Cad.jpg.jpg
