epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6513,2.4929,3.5469,2.15944,0.38159,0.09359,0.0443,0.0154,2.61069,3.34628,2.33676,0.000473531,0.000473531,0.000473531
2,68.7121,2.5074,3.21638,2.2701,0.37226,0.05962,0.03457,0.01014,2.58665,3.79153,2.5034,0.000940461,0.000940461,0.000940461
3,94.5216,2.5022,3.10966,2.2475,0.05515,0.13216,0.07444,0.02286,2.66858,3.29343,2.5075,0.00139796,0.00139796,0.00139796
4,122.129,2.53881,3.12499,2.30844,0.07812,0.09536,0.04223,0.01455,2.68012,4.04496,2.5459,0.00138656,0.00138656,0.00138656
5,148.11,2.5188,3.09782,2.30154,0.39679,0.12539,0.0568,0.02006,2.59999,3.47618,2.49075,0.00137241,0.00137241,0.00137241
6,173.712,2.49351,3.02707,2.27762,0.18253,0.1029,0.06042,0.0209,2.54811,3.10941,2.44481,0.00135826,0.00135826,0.00135826
7,198.429,2.43849,3.00253,2.26376,0.20513,0.11409,0.06544,0.02365,2.50199,3.0829,2.48704,0.00134412,0.00134412,0.00134412
8,224.037,2.40401,3.0248,2.23623,0.05801,0.089,0.047,0.01992,2.61797,3.19562,2.4356,0.00132997,0.00132997,0.00132997
9,250.087,2.43815,2.99611,2.2584,0.38801,0.12983,0.07172,0.02963,2.52032,3.22007,2.38302,0.00131582,0.00131582,0.00131582
10,276.16,2.40371,2.9794,2.21164,0.18186,0.08735,0.07197,0.02717,2.39606,3.04015,2.29857,0.00130168,0.00130168,0.00130168
11,302.214,2.40616,2.94445,2.22502,0.13769,0.12618,0.07752,0.0286,2.4364,3.16431,2.37488,0.00128753,0.00128753,0.00128753
12,329.906,2.36328,2.95707,2.20294,0.39504,0.14911,0.06693,0.02498,2.4762,3.14846,2.38737,0.00127338,0.00127338,0.00127338
13,355.556,2.36686,2.91279,2.19341,0.24209,0.12725,0.08802,0.03248,2.3495,3.0778,2.3279,0.00125923,0.00125923,0.00125923
14,381.104,2.36517,2.90179,2.1981,0.12736,0.13677,0.07352,0.02825,2.37208,3.08598,2.3144,0.00124509,0.00124509,0.00124509
15,408.333,2.30806,2.87692,2.13374,0.12952,0.12927,0.07742,0.02653,2.33096,3.00426,2.27241,0.00123094,0.00123094,0.00123094
16,434.713,2.35326,2.87675,2.17981,0.22006,0.14401,0.08278,0.02977,2.47513,3.07874,2.34672,0.00121679,0.00121679,0.00121679
17,461.321,2.3262,2.87754,2.14576,0.18684,0.14821,0.07776,0.02758,2.39334,3.08022,2.29989,0.00120265,0.00120265,0.00120265
18,487.921,2.32775,2.82943,2.14573,0.12573,0.123,0.07832,0.03451,2.29248,2.92218,2.29516,0.0011885,0.0011885,0.0011885
19,514.952,2.29253,2.84824,2.12589,0.21372,0.12041,0.09296,0.03487,2.36158,2.88818,2.36185,0.00117435,0.00117435,0.00117435
20,543.372,2.31584,2.81943,2.13018,0.12681,0.13224,0.10099,0.0388,2.28504,2.81054,2.2982,0.00116021,0.00116021,0.00116021
21,569.047,2.28896,2.86596,2.12551,0.14604,0.16029,0.09513,0.0369,2.29548,2.89453,2.22531,0.00114606,0.00114606,0.00114606
22,594.238,2.30325,2.77971,2.09387,0.15541,0.17146,0.09154,0.03621,2.38002,3.01583,2.24458,0.00113191,0.00113191,0.00113191
23,620.309,2.29592,2.79792,2.12856,0.15005,0.15198,0.08216,0.03145,2.34036,3.08864,2.26954,0.00111776,0.00111776,0.00111776
24,646.505,2.28395,2.81138,2.14476,0.20736,0.20789,0.0898,0.03316,2.3943,2.99261,2.31639,0.00110362,0.00110362,0.00110362
25,672.38,2.26686,2.77934,2.1177,0.1897,0.14464,0.10302,0.04044,2.30428,2.93758,2.25874,0.00108947,0.00108947,0.00108947
26,698.691,2.24584,2.76445,2.12182,0.18662,0.17102,0.09958,0.03907,2.3736,2.86101,2.26992,0.00107532,0.00107532,0.00107532
27,724.176,2.26989,2.81841,2.11077,0.17209,0.1361,0.10886,0.04274,2.29995,2.88155,2.2655,0.00106118,0.00106118,0.00106118
28,752.26,2.24678,2.78693,2.09243,0.12981,0.16163,0.09104,0.0351,2.37575,2.89182,2.27861,0.00104703,0.00104703,0.00104703
29,777.479,2.27584,2.7539,2.09037,0.15982,0.188,0.12013,0.0457,2.26947,2.86302,2.23603,0.00103288,0.00103288,0.00103288
30,803.364,2.26694,2.75235,2.09085,0.12635,0.16541,0.08617,0.03878,2.25606,2.91477,2.2496,0.00101873,0.00101873,0.00101873
31,829.444,2.23395,2.71972,2.08264,0.19266,0.18032,0.11353,0.04492,2.2557,2.89841,2.23675,0.00100459,0.00100459,0.00100459
32,855.206,2.24877,2.69737,2.04585,0.19158,0.13118,0.10252,0.04055,2.3172,2.85152,2.2594,0.00099044,0.00099044,0.00099044
33,881.332,2.22366,2.68352,2.06054,0.18014,0.19563,0.10136,0.03863,2.33328,2.85938,2.24903,0.000976293,0.000976293,0.000976293
34,907.068,2.22472,2.73477,2.07863,0.25682,0.19054,0.13097,0.04846,2.289,2.80165,2.19209,0.000962146,0.000962146,0.000962146
35,932.726,2.21521,2.73499,2.07458,0.14926,0.20329,0.10663,0.04183,2.27172,2.9708,2.19522,0.000947999,0.000947999,0.000947999
36,960.08,2.20399,2.66102,2.04809,0.15362,0.19768,0.10887,0.04471,2.30827,2.8161,2.21141,0.000933851,0.000933851,0.000933851
37,986.003,2.20511,2.69377,2.04685,0.21655,0.16293,0.11946,0.05076,2.19479,2.77606,2.14302,0.000919704,0.000919704,0.000919704
38,1012.18,2.16511,2.65001,2.01618,0.19356,0.16374,0.10256,0.04469,2.21316,2.83939,2.22802,0.000905557,0.000905557,0.000905557
39,1038.33,2.19528,2.67366,2.07116,0.20105,0.17213,0.13149,0.05334,2.28938,2.82543,2.22171,0.00089141,0.00089141,0.00089141
40,1064.61,2.20823,2.65655,2.04822,0.20632,0.21023,0.13553,0.0546,2.23136,2.72724,2.19657,0.000877263,0.000877263,0.000877263
41,1091.31,2.15558,2.61868,2.03166,0.14355,0.16192,0.08031,0.03013,2.32389,3.04129,2.21075,0.000863116,0.000863116,0.000863116
42,1116.73,2.19663,2.66531,2.02225,0.18381,0.15207,0.11788,0.04611,2.26584,2.82882,2.21137,0.000848969,0.000848969,0.000848969
43,1141.75,2.23388,2.63899,2.03571,0.22465,0.22091,0.13213,0.05313,2.26594,2.85606,2.24512,0.000834822,0.000834822,0.000834822
44,1169.15,2.15186,2.65406,2.02591,0.17882,0.2128,0.123,0.04647,2.30322,2.82751,2.21501,0.000820675,0.000820675,0.000820675
45,1195.25,2.16783,2.62062,2.03088,0.19317,0.20727,0.11111,0.04429,2.20182,2.86106,2.21756,0.000806528,0.000806528,0.000806528
46,1221.4,2.15951,2.6016,2.01489,0.19633,0.20065,0.10611,0.04234,2.21526,2.82628,2.18616,0.00079238,0.00079238,0.00079238
47,1247.2,2.15906,2.60657,2.00417,0.21732,0.1674,0.11276,0.04913,2.19845,2.84583,2.21045,0.000778233,0.000778233,0.000778233
48,1273.05,2.15004,2.61179,2.02168,0.25948,0.20964,0.13341,0.0527,2.21026,2.79269,2.18413,0.000764086,0.000764086,0.000764086
49,1298.66,2.12481,2.57828,1.98317,0.22024,0.20871,0.14663,0.0558,2.20651,2.7815,2.21901,0.000749939,0.000749939,0.000749939
50,1323.82,2.13746,2.61402,2.02674,0.15405,0.18542,0.10784,0.04227,2.25453,2.9987,2.20381,0.000735792,0.000735792,0.000735792
51,1350.02,2.13211,2.58353,2.00622,0.26937,0.23614,0.15807,0.05885,2.17278,2.71735,2.18241,0.000721645,0.000721645,0.000721645
