epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.719,2.31261,3.93208,2.0257,0.00605,0.15727,0.0078,0.0034,2.21384,3.7848,1.95551,0.00011432,0.00011432,0.00011432
2,280.877,2.10882,3.67845,1.89864,0.00673,0.16529,0.01008,0.00391,2.43564,3.80403,2.10727,0.000239494,0.000239494,0.000239494
3,416.93,2.22191,3.57506,1.92876,0.00956,0.20941,0.0296,0.00947,2.39778,3.77252,2.06734,0.000361031,0.000361031,0.000361031
4,555.068,2.12786,3.42479,1.86745,0.01475,0.26364,0.02598,0.01093,2.45961,3.73816,2.1321,0.000478929,0.000478929,0.000478929
5,691.122,2.12641,3.22407,1.8355,0.01091,0.25298,0.01915,0.00859,2.35375,3.7078,2.1137,0.00059319,0.00059319,0.00059319
6,834.082,2.18544,3.18072,1.90953,0.01147,0.31826,0.02991,0.0103,2.52933,3.53693,2.12322,0.000703813,0.000703813,0.000703813
7,972.026,2.13741,3.04951,1.91302,0.0111,0.32853,0.02442,0.00922,2.51701,3.47419,2.13245,0.000810798,0.000810798,0.000810798
8,1114.91,2.19912,3.03774,1.9591,0.01306,0.37958,0.03019,0.01209,2.44712,3.46474,2.19864,0.000914146,0.000914146,0.000914146
9,1255.04,2.1102,2.95448,1.90468,0.49021,0.06544,0.05143,0.02186,2.47755,3.30517,2.28611,0.00101386,0.00101386,0.00101386
10,1389.45,2.07461,2.81625,1.87285,0.44101,0.07305,0.04905,0.02171,2.48237,3.33556,2.38699,0.00110993,0.00110993,0.00110993
11,1531.35,2.11672,2.87086,1.90606,0.44104,0.05468,0.04941,0.02018,2.5494,3.41169,2.60428,0.00120236,0.00120236,0.00120236
12,1666.63,2.09288,2.86004,1.89548,0.08646,0.04554,0.03388,0.01351,2.7126,3.46341,2.78846,0.00120669,0.00120669,0.00120669
13,1800.75,2.14407,2.88827,1.92717,0.10965,0.07919,0.05437,0.02275,2.55998,3.3706,2.48018,0.00118648,0.00118648,0.00118648
14,1935.61,2.06109,2.71838,1.81888,0.08966,0.10911,0.05834,0.0206,2.59652,3.2251,2.47377,0.00116627,0.00116627,0.00116627
15,2073.78,2.04798,2.68667,1.87424,0.11044,0.10498,0.05924,0.02474,2.60083,3.19905,2.47275,0.00114606,0.00114606,0.00114606
16,2208.91,1.9924,2.65751,1.86388,0.09799,0.07826,0.05264,0.02083,2.64337,3.27803,2.474,0.00112585,0.00112585,0.00112585
17,2345.78,2.02854,2.69239,1.84697,0.48639,0.09629,0.07483,0.02365,2.59425,3.22701,2.46896,0.00110564,0.00110564,0.00110564
18,2477.39,1.97875,2.54822,1.80644,0.07391,0.1714,0.06947,0.02495,2.57441,3.3364,2.51645,0.00108543,0.00108543,0.00108543
19,2619.02,2.00082,2.54648,1.80205,0.08111,0.11864,0.05804,0.02383,2.56658,3.24916,2.45074,0.00106522,0.00106522,0.00106522
20,2756.73,1.98929,2.57001,1.81905,0.16824,0.08671,0.05732,0.02221,2.58941,3.26054,2.52522,0.00104501,0.00104501,0.00104501
21,2891,1.99521,2.5777,1.86,0.14166,0.12106,0.05459,0.02102,2.60849,3.30439,2.59734,0.0010248,0.0010248,0.0010248
22,3029.64,1.99412,2.55543,1.85454,0.11424,0.15873,0.06593,0.02353,2.55296,3.34085,2.38244,0.00100459,0.00100459,0.00100459
23,3166.92,1.93054,2.51301,1.7667,0.05719,0.12261,0.05681,0.02432,2.58042,4.24477,2.37211,0.000984377,0.000984377,0.000984377
24,3301.64,1.9892,2.43704,1.83988,0.13324,0.084,0.06281,0.03059,2.58105,3.28894,2.40458,0.000964167,0.000964167,0.000964167
25,3437.88,1.9568,2.46599,1.79807,0.21779,0.08671,0.07525,0.03305,2.55116,3.4003,2.33781,0.000943957,0.000943957,0.000943957
26,3577.02,1.87933,2.34301,1.73015,0.1876,0.08897,0.08003,0.03212,2.575,3.27321,2.29673,0.000923746,0.000923746,0.000923746
27,3711.97,1.85688,2.28282,1.69526,0.22898,0.11103,0.07239,0.02719,2.59861,3.38105,2.31225,0.000903536,0.000903536,0.000903536
28,3843.98,1.85737,2.37805,1.75196,0.15585,0.11973,0.06405,0.02572,2.62987,3.52561,2.35738,0.000883326,0.000883326,0.000883326
29,3974.66,1.87706,2.45263,1.78311,0.11633,0.10691,0.06596,0.02672,2.57107,3.42737,2.32412,0.000863116,0.000863116,0.000863116
30,4111.16,1.84575,2.25739,1.70513,0.11989,0.11306,0.04821,0.02087,2.53512,3.67822,2.26846,0.000842906,0.000842906,0.000842906
31,4243.83,1.82917,2.28617,1.69392,0.10126,0.18046,0.04601,0.02086,2.55799,3.86482,2.25402,0.000822696,0.000822696,0.000822696
32,4375.57,1.71567,2.16943,1.64466,0.04196,0.32933,0.06208,0.02509,2.54884,3.56136,2.29581,0.000802486,0.000802486,0.000802486
33,4506.33,1.86256,2.22396,1.73991,0.28945,0.13859,0.08281,0.03369,2.53199,3.49809,2.34241,0.000782275,0.000782275,0.000782275
34,4639.16,1.74924,2.16519,1.67718,0.20068,0.11688,0.07666,0.03073,2.47537,3.50869,2.39418,0.000762065,0.000762065,0.000762065
35,4770.39,1.76479,2.17092,1.70488,0.13154,0.10862,0.0694,0.02785,2.48111,3.38107,2.42976,0.000741855,0.000741855,0.000741855
36,4900.94,1.73586,2.09676,1.64911,0.12017,0.08042,0.0609,0.02635,2.53268,3.25075,2.40518,0.000721645,0.000721645,0.000721645
37,5034.32,1.74613,2.17831,1.64564,0.08453,0.11928,0.04746,0.02269,2.51174,3.46878,2.40827,0.000701435,0.000701435,0.000701435
38,5173.95,1.77846,2.1856,1.68522,0.07829,0.10312,0.04337,0.02008,2.52055,3.50867,2.39319,0.000681225,0.000681225,0.000681225
39,5311.82,1.68812,2.10888,1.63244,0.16881,0.08726,0.059,0.02495,2.51716,3.39628,2.34733,0.000661015,0.000661015,0.000661015
40,5447.3,1.69741,1.9533,1.59196,0.14229,0.10411,0.08043,0.02994,2.50032,3.32867,2.26708,0.000640804,0.000640804,0.000640804
41,5576.71,1.72359,2.10683,1.68882,0.11445,0.09529,0.0671,0.02354,2.50492,3.47441,2.30728,0.000620594,0.000620594,0.000620594
42,5708.19,1.69672,2.01757,1.62019,0.09457,0.09153,0.05251,0.02029,2.48023,3.49608,2.33532,0.000600384,0.000600384,0.000600384
43,5841.91,1.63524,1.9682,1.57828,0.11282,0.13923,0.05926,0.0212,2.4868,3.4794,2.39409,0.000580174,0.000580174,0.000580174
44,5981.84,1.72002,2.04607,1.6045,0.13021,0.14469,0.07525,0.02662,2.49441,3.47735,2.36157,0.000559964,0.000559964,0.000559964
45,6114.79,1.72848,1.97915,1.64204,0.13435,0.147,0.0654,0.02271,2.48337,3.47254,2.36296,0.000539754,0.000539754,0.000539754
46,6255.27,1.6978,1.91004,1.60636,0.14244,0.12876,0.0707,0.02437,2.50887,3.4257,2.40177,0.000519544,0.000519544,0.000519544
47,6394.45,1.61308,1.86912,1.57591,0.1194,0.13871,0.06597,0.02174,2.51448,3.3858,2.4371,0.000499333,0.000499333,0.000499333
48,6529.65,1.56677,1.75327,1.50558,0.13856,0.12975,0.07802,0.02897,2.52777,3.3819,2.42309,0.000479123,0.000479123,0.000479123
49,6663.41,1.67214,1.85515,1.58918,0.15022,0.10435,0.06807,0.02814,2.50518,3.41191,2.39139,0.000458913,0.000458913,0.000458913
50,6797.94,1.58068,1.89385,1.54507,0.13021,0.07895,0.06084,0.02421,2.49501,3.4902,2.38865,0.000438703,0.000438703,0.000438703
51,6927.31,1.55272,1.77107,1.52582,0.10514,0.06318,0.04992,0.01887,2.52838,3.61161,2.42861,0.000418493,0.000418493,0.000418493
52,7059.7,1.59367,1.82771,1.53694,0.15377,0.09487,0.07134,0.02771,2.49006,3.42286,2.35443,0.000398283,0.000398283,0.000398283
53,7188.13,1.51509,1.66413,1.45599,0.15646,0.11732,0.07497,0.02719,2.50854,3.34233,2.36275,0.000378073,0.000378073,0.000378073
54,7315.26,1.59636,1.77339,1.51615,0.14798,0.12812,0.08192,0.03025,2.50111,3.26248,2.346,0.000357862,0.000357862,0.000357862
55,7444.99,1.53527,1.69056,1.49627,0.30052,0.09727,0.08758,0.0339,2.49922,3.18917,2.34277,0.000337652,0.000337652,0.000337652
56,7579.69,1.52217,1.69174,1.45999,0.18306,0.11933,0.08211,0.03105,2.49647,3.27293,2.35038,0.000317442,0.000317442,0.000317442
57,7713.06,1.49724,1.70908,1.4712,0.17564,0.11167,0.08177,0.02946,2.51154,3.39217,2.38518,0.000297232,0.000297232,0.000297232
58,7844.66,1.52042,1.63259,1.48313,0.17839,0.10519,0.07931,0.02888,2.51151,3.46009,2.41211,0.000277022,0.000277022,0.000277022
59,7978.57,1.54466,1.65137,1.49086,0.18082,0.11093,0.07988,0.02894,2.49653,3.4568,2.40598,0.000256812,0.000256812,0.000256812
60,8115.5,1.46708,1.63838,1.43768,0.20951,0.12919,0.08394,0.02946,2.49191,3.4647,2.40056,0.000236602,0.000236602,0.000236602
61,8249.69,1.47594,1.67378,1.47485,0.19662,0.10411,0.07028,0.02498,2.49347,3.56515,2.40909,0.000216391,0.000216391,0.000216391
62,8384.37,1.41588,1.64061,1.4542,0.14526,0.07407,0.06595,0.02129,2.50932,3.65776,2.41936,0.000196181,0.000196181,0.000196181
63,8515.73,1.43575,1.60053,1.45341,0.14526,0.07856,0.05981,0.01995,2.49332,3.6695,2.39163,0.000175971,0.000175971,0.000175971
64,8645.78,1.41258,1.59596,1.4731,0.15251,0.08392,0.06246,0.02399,2.45895,3.56572,2.36056,0.000155761,0.000155761,0.000155761
65,8779.09,1.45504,1.58183,1.47891,0.16565,0.10101,0.07796,0.02866,2.45334,3.45271,2.34219,0.000135551,0.000135551,0.000135551
